79.0509 	 103.2
81.0665 	 191
95.0546 	 329.1
95.0816 	 351
97.0668 	 100.5
105.0699 	 585.9
107.0831 	 575.9
109.0949 	 430.9
111.0804 	 132.1
119.0843 	 617
121.1009 	 298.7
125.0845 	 91.8
131.0845 	 801.2
133.1001 	 538.8
135.0855 	 170.3
139.0773 	 207.6
145.1014 	 1952.8
146.1029 	 280.8
147.1117 	 520
149.0843 	 252.3
153.084 	 288.1
156.0888 	 190.4
157.0977 	 548.5
158.5518 	 16.7
159.1156 	 1694.4
160.1133 	 266.2
161.0897 	 317.5
161.1163 	 316.3
163.092 	 198.1
164.5501 	 9.5
165.5683 	 16.7
167.0799 	 153.3
171.1175 	 280.9
173.1294 	 864
173.5562 	 13.1
174.1223 	 158.3
174.5622 	 27.6
175.1065 	 235.4
175.5487 	 15.5
176.102 	 86
177.078 	 805.7
177.0919 	 807.5
182.1069 	 236
185.1309 	 575.2
186.1222 	 136
187.149 	 1919.8
188.1506 	 296.9
189.1465 	 201.5
189.1684 	 176
191.1137 	 875
191.1392 	 873.8
192.1314 	 141
195.5977 	 3.6
197.1403 	 528.3
203.1299 	 319.8
204.141 	 74
205.157 	 364.2
215.1438 	 3173.6
216.148 	 630.7
230.0238 	 70.2
232.7634 	 25
233.0473 	 74.1
233.1529 	 10004
233.2914 	 27.5
233.6796 	 50.2
233.9531 	 81.5
234.1592 	 2176.6
234.3187 	 56.8
234.6564 	 64.9
234.7962 	 56.7
235.1611 	 332.9
235.3038 	 53.8
235.383 	 53.7
235.8306 	 42.7
236.1612 	 55.4
236.3397 	 26.9
245.5932 	 16.4
251.165 	 666.6
